file,total_track_time,total_time,mota,mAP,mAP50
20250523_024928.json,0.24912190437316895,4.266639709472656,0.6701636592530424,0.6350693111948558,0.6363636363636365
20250523_024951.json,0.27652812004089355,4.31096076965332,0.8300461603021402,0.8171993036937808,0.8180915410309652
20250523_025018.json,0.2803647518157959,4.348736763000488,-0.43852287033151494,0.1945379633305287,0.2981668357519665
20250523_025045.json,0.2777857780456543,4.586421728134155,-0.47838858581619803,0.18498140494495074,0.27905371898081055
20250523_031418.json,33.92705464363098,43.34002351760864,-76.76290390264373,0.09390655905329137,0.09627137662976303
20250523_031441.json,0.28519701957702637,4.228269338607788,0.8283676038606798,0.8172728444421407,0.8180912712785224
20250523_031505.json,0.28752756118774414,4.28947377204895,0.789760805707092,0.7710899766659718,0.8178038178038178
20250523_031529.json,0.31586670875549316,4.300448179244995,0.9840537138061267,0.9089013711521585,0.9090494548770884
20250523_031558.json,0.31171536445617676,4.4600303173065186,-0.5841376416281998,0.19626555625327785,0.30162202159746476
20250523_031630.json,0.35016608238220215,4.741339921951294,-0.7650020981955519,0.18631608658761833,0.2817230822661458
20250523_034119.json,36.26955318450928,46.682660818099976,-81.00923206042803,0.09382367045855741,0.0961300963240106
20250523_034143.json,0.31275415420532227,4.297141790390015,1.0,1.0000000000000002,1.0000000000000002
20250523_034206.json,0.283585786819458,4.35141921043396,0.7864036928241712,0.7711208380125449,0.8178026353208836
20250523_034230.json,0.3075873851776123,4.322330713272095,0.9840537138061267,0.9089013711521585,0.9090494548770884
20250523_034259.json,0.3036842346191406,4.3832314014434814,-0.5942089802769619,0.1938043709979096,0.2966996510867283
20250523_034330.json,0.3378419876098633,4.72889256477356,-0.716743600503567,0.18834114795982698,0.285773205010563
20250523_040829.json,35.85710072517395,46.121926069259644,-81.14729332773814,0.09370034147890105,0.09586034741182481
20250523_040852.json,0.3034040927886963,4.237895965576172,1.0,1.0000000000000002,1.0000000000000002
